Salle,Date,Nom,Description,Valeur
D205,"18-01-2023 12:03:20",temp,,19
D205,"18-01-2023 12:03:20",hum,,39.6
D205,"18-01-2023 12:03:15",co2,,400
D205,"18-01-2023 11:48:14",temp,,19
D205,"18-01-2023 11:48:14",hum,,39.6
D205,"18-01-2023 11:48:14",co2,,400
D205,"18-01-2023 11:33:13",temp,,19
D205,"18-01-2023 11:33:13",hum,,39.6
D205,"18-01-2023 11:33:13",co2,,400
D205,"18-01-2023 11:18:13",temp,,19
D205,"18-01-2023 11:18:12",hum,,39.6
D205,"18-01-2023 11:18:12",co2,,400
D205,"18-01-2023 11:03:12",temp,,19
D205,"18-01-2023 11:03:12",hum,,39.6
D205,"18-01-2023 11:03:09",co2,,400
D205,"18-01-2023 10:48:09",temp,,19
D205,"18-01-2023 10:48:09",hum,,39.6
D205,"18-01-2023 10:48:08",co2,,400
D205,"18-01-2023 10:33:08",temp,,19
D205,"18-01-2023 10:33:08",hum,,39.6
D205,"18-01-2023 10:33:08",co2,,400
D205,"18-01-2023 10:18:08",temp,,19
D205,"18-01-2023 10:18:07",hum,,39.6
D205,"18-01-2023 10:18:07",co2,,400
D205,"18-01-2023 10:03:07",temp,,19
D205,"18-01-2023 10:03:07",hum,,39.6
D205,"18-01-2023 10:03:06",co2,,400
D205,"18-01-2023 09:48:06",temp,,19
D205,"18-01-2023 09:48:06",hum,,39.6
D205,"18-01-2023 09:48:05",co2,,400
D205,"18-01-2023 09:33:05",temp,,19
D205,"18-01-2023 09:33:05",hum,,39.6
D205,"18-01-2023 09:33:04",co2,,400
D205,"18-01-2023 09:18:04",temp,,19
D205,"18-01-2023 09:18:04",hum,,39.6
D205,"18-01-2023 09:18:04",co2,,400
D205,"18-01-2023 09:03:04",temp,,19
D205,"18-01-2023 09:03:04",hum,,39.6
D205,"18-01-2023 09:03:03",co2,,400
D205,"18-01-2023 08:48:03",temp,,19
D205,"18-01-2023 08:48:01",hum,,39.6
D205,"18-01-2023 08:48:00",co2,,400
D205,"18-01-2023 08:33:00",temp,,19
D205,"18-01-2023 08:33:00",hum,,39.6
D205,"18-01-2023 08:33:00",co2,,400
D205,"18-01-2023 08:17:59",temp,,19
D205,"18-01-2023 08:17:59",hum,,39.6
D205,"18-01-2023 08:17:59",co2,,400
D205,"18-01-2023 08:02:59",temp,,19
D205,"18-01-2023 08:02:59",hum,,39.6
D205,"18-01-2023 08:02:59",co2,,400
D205,"18-01-2023 07:47:58",temp,,19
D205,"18-01-2023 07:47:58",hum,,39.6
D205,"18-01-2023 07:47:58",co2,,400
D205,"18-01-2023 07:32:58",temp,,19.1
D205,"18-01-2023 07:32:58",hum,,47
D205,"18-01-2023 07:32:57",co2,,400
D205,"18-01-2023 07:17:57",temp,,19.1
D205,"18-01-2023 07:17:57",hum,,47
D205,"18-01-2023 07:17:57",co2,,400
D205,"18-01-2023 07:02:57",temp,,19.1
D205,"18-01-2023 07:02:56",hum,,47
D205,"18-01-2023 07:02:56",co2,,400
D205,"18-01-2023 06:47:56",temp,,19.1
D205,"18-01-2023 06:47:56",hum,,47
D205,"18-01-2023 06:47:56",co2,,400
D205,"18-01-2023 06:32:56",temp,,19.1
D205,"18-01-2023 06:32:55",hum,,47
D205,"18-01-2023 06:32:55",co2,,400
D205,"18-01-2023 06:17:55",temp,,19.1
D205,"18-01-2023 06:17:55",hum,,47
D205,"18-01-2023 06:17:55",co2,,400
D205,"18-01-2023 06:02:55",temp,,19.1
D205,"18-01-2023 06:02:54",hum,,47
D205,"18-01-2023 06:02:54",co2,,400
D205,"18-01-2023 05:47:54",temp,,19.1
D205,"18-01-2023 05:47:54",hum,,47
D205,"18-01-2023 05:47:54",co2,,400
D205,"18-01-2023 05:32:53",temp,,19.1
D205,"18-01-2023 05:32:53",hum,,47
D205,"18-01-2023 05:32:53",co2,,400
D205,"18-01-2023 05:17:53",temp,,19.1
D205,"18-01-2023 05:17:53",hum,,47
D205,"18-01-2023 05:17:52",co2,,400
D205,"18-01-2023 04:47:52",temp,,19.1
D205,"18-01-2023 04:47:52",hum,,47
D205,"18-01-2023 04:47:52",co2,,400
D205,"18-01-2023 04:32:52",temp,,19.1
D205,"18-01-2023 04:32:51",hum,,47
D205,"18-01-2023 04:32:51",co2,,400
D205,"18-01-2023 04:17:51",temp,,19.1
D205,"18-01-2023 04:17:51",hum,,47
D205,"18-01-2023 04:17:51",co2,,400
D205,"18-01-2023 04:02:50",temp,,19.1
D205,"18-01-2023 04:02:50",hum,,47
D205,"18-01-2023 04:02:50",co2,,400
D205,"18-01-2023 03:47:50",temp,,19.1
D205,"18-01-2023 03:47:50",hum,,47.4
D205,"18-01-2023 03:47:49",co2,,400
D205,"18-01-2023 03:32:49",temp,,19.1
D205,"18-01-2023 03:32:49",hum,,47.4
D205,"18-01-2023 03:32:49",co2,,400
D205,"18-01-2023 03:17:49",temp,,19.1
D205,"18-01-2023 03:17:49",hum,,47.4
D205,"18-01-2023 03:17:48",co2,,400
D205,"18-01-2023 03:02:48",temp,,19.1
D205,"18-01-2023 03:02:48",hum,,47.4
D205,"18-01-2023 03:02:48",co2,,400
D205,"18-01-2023 02:47:48",temp,,19.1
D205,"18-01-2023 02:47:47",hum,,47.4
D205,"18-01-2023 02:47:47",co2,,400
D205,"18-01-2023 02:32:47",temp,,19.1
D205,"18-01-2023 02:32:47",hum,,47.4
D205,"18-01-2023 02:32:47",co2,,400
D205,"18-01-2023 02:17:47",temp,,19.1
D205,"18-01-2023 02:17:46",hum,,47.4
D205,"18-01-2023 02:17:46",co2,,400
D205,"18-01-2023 02:02:46",temp,,19.1
D205,"18-01-2023 02:02:46",hum,,47.4
D205,"18-01-2023 02:02:45",co2,,400
D205,"18-01-2023 01:47:45",temp,,19.1
D205,"18-01-2023 01:47:45",hum,,47.4
D205,"18-01-2023 01:47:45",co2,,400
D205,"18-01-2023 01:32:45",temp,,19.1
D205,"18-01-2023 01:32:45",hum,,47.4
D205,"18-01-2023 01:32:44",co2,,400
D205,"18-01-2023 01:17:44",temp,,19.2
D205,"18-01-2023 01:17:44",hum,,45.5
D205,"18-01-2023 01:17:44",co2,,400
D205,"18-01-2023 01:02:44",temp,,19.2
D205,"18-01-2023 01:02:43",hum,,45.5
D205,"18-01-2023 01:02:43",co2,,400
D205,"18-01-2023 00:47:43",temp,,19.2
D205,"18-01-2023 00:47:43",hum,,45.5
D205,"18-01-2023 00:47:43",co2,,400
D205,"18-01-2023 00:32:43",temp,,19.2
D205,"18-01-2023 00:32:42",hum,,45.5
D205,"18-01-2023 00:32:42",co2,,400
D205,"18-01-2023 00:17:42",temp,,19.2
D205,"18-01-2023 00:17:42",hum,,45.5
D205,"18-01-2023 00:17:42",co2,,400
D205,"18-01-2023 00:02:41",temp,,19.2
D205,"18-01-2023 00:02:41",hum,,45.5
D205,"18-01-2023 00:02:41",co2,,400
D205,"17-01-2023 23:47:41",temp,,19.2
D205,"17-01-2023 23:47:41",hum,,45.5
D205,"17-01-2023 23:47:40",co2,,400
D205,"17-01-2023 23:32:40",temp,,19.2
D205,"17-01-2023 23:32:40",hum,,45.5
D205,"17-01-2023 23:32:40",co2,,400
D205,"17-01-2023 23:17:40",temp,,19.3
D205,"17-01-2023 23:17:39",hum,,46.1
D205,"17-01-2023 23:17:39",co2,,400
D205,"17-01-2023 23:02:39",temp,,19.3
D205,"17-01-2023 23:02:39",hum,,46.1
D205,"17-01-2023 23:02:38",co2,,400
D205,"17-01-2023 22:47:38",temp,,19.3
D205,"17-01-2023 22:47:38",hum,,46.1
D205,"17-01-2023 22:47:38",co2,,400
D205,"17-01-2023 22:32:38",temp,,19.3
D205,"17-01-2023 22:32:37",hum,,46.1
D205,"17-01-2023 22:32:37",co2,,400
D205,"17-01-2023 22:17:37",temp,,19.3
D205,"17-01-2023 22:17:37",hum,,46.1
D205,"17-01-2023 22:17:37",co2,,400
D205,"17-01-2023 22:02:36",temp,,19.3
D205,"17-01-2023 22:02:36",hum,,46.1
D205,"17-01-2023 22:02:36",co2,,400
D205,"17-01-2023 21:47:36",temp,,19.3
D205,"17-01-2023 21:47:36",hum,,46.1
D205,"17-01-2023 21:47:35",co2,,400
D205,"17-01-2023 21:32:35",temp,,19.3
D205,"17-01-2023 21:32:35",hum,,46.1
D205,"17-01-2023 21:32:35",co2,,400
D205,"17-01-2023 21:17:35",temp,,19.4
D205,"17-01-2023 21:17:35",hum,,48.7
D205,"17-01-2023 21:17:34",co2,,400
D205,"17-01-2023 21:02:34",temp,,19.4
D205,"17-01-2023 21:02:34",hum,,48.7
D205,"17-01-2023 21:02:34",co2,,400
D205,"17-01-2023 20:47:34",temp,,19.5
D205,"17-01-2023 20:47:34",hum,,45.8
D205,"17-01-2023 20:47:33",co2,,400
D205,"17-01-2023 20:32:33",temp,,19.5
D205,"17-01-2023 20:32:33",hum,,45.8
D205,"17-01-2023 20:32:33",co2,,400
D205,"17-01-2023 20:17:33",temp,,19.5
D205,"17-01-2023 20:17:33",hum,,45.8
D205,"17-01-2023 20:17:32",co2,,400
D205,"17-01-2023 20:02:32",temp,,22
D205,"17-01-2023 20:02:32",hum,,46.2
D205,"17-01-2023 20:02:32",co2,,400
D205,"17-01-2023 19:47:32",temp,,22
D205,"17-01-2023 19:47:31",hum,,46.2
D205,"17-01-2023 19:47:31",co2,,400
D205,"17-01-2023 19:32:31",temp,,22
D205,"17-01-2023 19:32:31",hum,,46.2
D205,"17-01-2023 19:32:31",co2,,400
D205,"17-01-2023 19:17:31",temp,,22
D205,"17-01-2023 19:17:30",hum,,46.2
D205,"17-01-2023 19:17:30",co2,,400
D205,"17-01-2023 19:02:30",temp,,22
D205,"17-01-2023 19:02:30",hum,,46.2
D205,"17-01-2023 19:02:30",co2,,400
D205,"17-01-2023 18:47:29",temp,,22
D205,"17-01-2023 18:47:29",hum,,46.2
D205,"17-01-2023 18:47:29",co2,,400
D205,"17-01-2023 18:32:29",temp,,22
D205,"17-01-2023 18:32:29",hum,,46.2
D205,"17-01-2023 18:32:28",co2,,400
D205,"17-01-2023 18:17:28",temp,,22
D205,"17-01-2023 18:17:28",hum,,46.2
D205,"17-01-2023 18:17:28",co2,,400
D205,"17-01-2023 18:02:28",temp,,22
D205,"17-01-2023 18:02:28",hum,,46.2
D205,"17-01-2023 18:02:27",co2,,400
D205,"17-01-2023 17:47:27",temp,,22
D205,"17-01-2023 17:47:27",hum,,46.2
D205,"17-01-2023 17:47:27",co2,,400
D205,"17-01-2023 17:32:27",temp,,22
D205,"17-01-2023 17:32:26",hum,,46.2
D205,"17-01-2023 17:32:26",co2,,400
D205,"17-01-2023 17:17:26",temp,,22
D205,"17-01-2023 17:17:26",hum,,46.2
D205,"17-01-2023 17:17:26",co2,,400
D205,"17-01-2023 17:02:25",temp,,22
D205,"17-01-2023 17:02:25",hum,,46.2
D205,"17-01-2023 17:02:25",co2,,400
D205,"17-01-2023 16:47:25",temp,,22
D205,"17-01-2023 16:47:25",hum,,46.2
D205,"17-01-2023 16:47:24",co2,,400
D205,"17-01-2023 16:32:24",temp,,22
D205,"17-01-2023 16:32:24",hum,,46.2
D205,"17-01-2023 16:32:24",co2,,400
D205,"17-01-2023 16:17:24",temp,,20.8
D205,"17-01-2023 16:17:24",hum,,47
D205,"17-01-2023 16:17:23",co2,,400
D205,"17-01-2023 16:02:23",temp,,20.8
D205,"17-01-2023 16:02:23",hum,,47
D205,"17-01-2023 16:02:23",co2,,400
D205,"17-01-2023 15:47:23",temp,,20.8
D205,"17-01-2023 15:47:22",hum,,47
D205,"17-01-2023 15:47:22",co2,,400
D205,"17-01-2023 15:32:22",temp,,20.8
D205,"17-01-2023 15:32:22",hum,,47
D205,"17-01-2023 15:32:22",co2,,400
D205,"17-01-2023 15:17:21",temp,,20.8
D205,"17-01-2023 15:17:21",hum,,47
D205,"17-01-2023 15:17:21",co2,,400
D205,"17-01-2023 15:02:21",temp,,20.8
D205,"17-01-2023 15:02:21",hum,,47
D205,"17-01-2023 15:02:20",co2,,400
D205,"17-01-2023 14:47:20",temp,,20.8
D205,"17-01-2023 14:47:20",hum,,47
D205,"17-01-2023 14:47:20",co2,,400
D205,"17-01-2023 14:32:20",temp,,20.8
D205,"17-01-2023 14:32:19",hum,,47
D205,"17-01-2023 14:32:19",co2,,400
D205,"17-01-2023 14:17:19",temp,,20.8
D205,"17-01-2023 14:17:19",hum,,47
D205,"17-01-2023 14:17:19",co2,,400
D205,"17-01-2023 14:02:18",temp,,20.8
D205,"17-01-2023 14:02:18",hum,,47
D205,"17-01-2023 14:02:18",co2,,400
D205,"17-01-2023 13:47:18",temp,,22
D205,"17-01-2023 13:47:17",hum,,47.2
D205,"17-01-2023 13:47:17",co2,,400
D205,"17-01-2023 13:32:17",temp,,22
D205,"17-01-2023 13:32:17",hum,,47.2
D205,"17-01-2023 13:32:17",co2,,400
D205,"17-01-2023 13:17:16",temp,,22
D205,"17-01-2023 13:17:16",hum,,47.2
D205,"17-01-2023 13:17:16",co2,,400
D205,"17-01-2023 13:02:16",temp,,22
D205,"17-01-2023 13:02:15",hum,,47.2
D205,"17-01-2023 13:02:15",co2,,400
D205,"17-01-2023 12:47:15",temp,,22
D205,"17-01-2023 12:47:15",hum,,47.2
D205,"17-01-2023 12:47:15",co2,,400
D205,"17-01-2023 12:32:15",temp,,22
D205,"17-01-2023 12:32:14",hum,,47.2
D205,"17-01-2023 12:32:14",co2,,400
D205,"17-01-2023 12:17:14",temp,,22
D205,"17-01-2023 12:17:14",hum,,47.2
D205,"17-01-2023 12:17:14",co2,,400
