Salle,Date,Nom,Description,Valeur
Secreteriat,"16-01-2023 15:11:11",co2,,682
Secreteriat,"16-01-2023 15:11:11",hum,,58.9
Secreteriat,"16-01-2023 15:11:11",temp,,22
Secreteriat,"16-01-2023 14:56:07",co2,,642
Secreteriat,"16-01-2023 14:56:07",hum,,59
Secreteriat,"16-01-2023 14:56:07",temp,,21.8
Secreteriat,"16-01-2023 14:41:03",co2,,614
Secreteriat,"16-01-2023 14:41:03",hum,,59.3
Secreteriat,"16-01-2023 14:41:03",temp,,21.6
Secreteriat,"16-01-2023 14:25:59",co2,,592
Secreteriat,"16-01-2023 14:25:59",hum,,59.5
Secreteriat,"16-01-2023 14:25:59",temp,,21.5
Secreteriat,"16-01-2023 14:10:55",co2,,468
Secreteriat,"16-01-2023 14:10:55",hum,,59.4
Secreteriat,"16-01-2023 14:10:55",temp,,21.2
Secreteriat,"16-01-2023 13:55:51",co2,,400
Secreteriat,"16-01-2023 13:55:51",hum,,58.1
Secreteriat,"16-01-2023 13:55:51",temp,,20.9
Secreteriat,"16-01-2023 13:40:47",co2,,400
Secreteriat,"16-01-2023 13:40:47",hum,,58
Secreteriat,"16-01-2023 13:40:47",temp,,20.9
Secreteriat,"16-01-2023 13:25:44",co2,,400
Secreteriat,"16-01-2023 13:25:44",hum,,57.7
Secreteriat,"16-01-2023 13:25:44",temp,,20.8
Secreteriat,"16-01-2023 13:10:40",co2,,400
Secreteriat,"16-01-2023 13:10:40",hum,,57
Secreteriat,"16-01-2023 13:10:40",temp,,20.8
Secreteriat,"16-01-2023 12:55:36",co2,,400
Secreteriat,"16-01-2023 12:55:36",hum,,56.2
Secreteriat,"16-01-2023 12:55:36",temp,,20.9
Secreteriat,"16-01-2023 12:40:32",co2,,400
Secreteriat,"16-01-2023 12:40:32",hum,,55.3
Secreteriat,"16-01-2023 12:40:32",temp,,21.1
Secreteriat,"16-01-2023 12:25:29",co2,,400
Secreteriat,"16-01-2023 12:25:29",hum,,56.4
Secreteriat,"16-01-2023 12:25:29",temp,,21.3
Secreteriat,"16-01-2023 12:10:25",co2,,400
Secreteriat,"16-01-2023 12:10:25",hum,,57.1
Secreteriat,"16-01-2023 12:10:25",temp,,21.7
Secreteriat,"16-01-2023 11:55:21",co2,,567
Secreteriat,"16-01-2023 11:55:21",hum,,59.3
Secreteriat,"16-01-2023 11:55:21",temp,,22
Secreteriat,"16-01-2023 11:40:17",co2,,500
Secreteriat,"16-01-2023 11:40:17",hum,,59.2
Secreteriat,"16-01-2023 11:40:17",temp,,21.8
Secreteriat,"16-01-2023 11:25:13",co2,,400
Secreteriat,"16-01-2023 11:25:13",hum,,58
Secreteriat,"16-01-2023 11:25:13",temp,,21.6
Secreteriat,"16-01-2023 11:10:09",co2,,437
Secreteriat,"16-01-2023 11:10:09",hum,,58.7
Secreteriat,"16-01-2023 11:10:09",temp,,21.4
Secreteriat,"16-01-2023 10:55:05",co2,,535
Secreteriat,"16-01-2023 10:55:05",hum,,60.2
